run_id,video,video_sha256,config_id,pts_ms,cls,confidence,x1,y1,x2,y2,area_px,width_px,height_px,aspect,abstained,abstain_reason,usable,seat_state,track_id,event_id,crop_id,crop_config,fallback_reason,crop_native_px,magnification,slice_index,merged_from,calibration_version,pose_source
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,53620.0,unknown_object,0.2643,925.85,456.19,1000.28,514.41,4333.5,74.43,58.22,1.278,False,,True,unattributed,1,evt_01-P01_desk_work_surface_0001,0471e78e41e1c3f2,native_source_context_fallback,no_pose_observation,54793.1,2.46,,1,01/e1/v1,
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,53620.0,unknown_object,0.7969,649.86,406.22,725.47,536.7,9866.7,75.61,130.49,0.579,False,,True,unattributed,2,evt_01-P01_desk_work_surface_0001,d8856ff8f231780b,native_source_context_fallback,wrist_confidence_below_floor,24133.7,2.71,,1,01/e1/v1,rtmpose_baseline
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,53620.0,unknown_object,0.7633,698.76,397.86,752.03,538.53,7494.5,53.27,140.68,0.379,False,,True,unattributed,2,evt_01-P01_desk_work_surface_0001,d8856ff8f231780b,native_source_context_fallback,wrist_confidence_below_floor,24133.7,2.71,,1,01/e1/v1,rtmpose_baseline
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,53620.0,unknown_object,0.4723,724.34,397.69,748.95,429.82,790.7,24.61,32.12,0.766,False,,True,unattributed,2,evt_01-P01_desk_work_surface_0001,d8856ff8f231780b,native_source_context_fallback,wrist_confidence_below_floor,24133.7,2.71,,1,01/e1/v1,rtmpose_baseline
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,53620.0,unknown_object,0.4685,649.93,365.48,667.32,401.1,619.4,17.39,35.61,0.488,False,,True,unattributed,2,evt_01-P01_desk_work_surface_0001,d8856ff8f231780b,native_source_context_fallback,wrist_confidence_below_floor,24133.7,2.71,,1,01/e1/v1,rtmpose_baseline
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,53620.0,unknown_object,0.3261,649.79,397.98,751.41,538.04,14234.1,101.63,140.06,0.726,False,,True,unattributed,2,evt_01-P01_desk_work_surface_0001,d8856ff8f231780b,native_source_context_fallback,wrist_confidence_below_floor,24133.7,2.71,,1,01/e1/v1,rtmpose_baseline
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,53620.0,unknown_object,0.2953,649.98,406.84,696.28,537.02,6027.4,46.3,130.17,0.356,False,,True,unattributed,2,evt_01-P01_desk_work_surface_0001,d8856ff8f231780b,native_source_context_fallback,wrist_confidence_below_floor,24133.7,2.71,,1,01/e1/v1,rtmpose_baseline
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,53620.0,unknown_object,0.252,733.62,371.15,752.13,404.46,616.5,18.51,33.31,0.556,False,,True,unattributed,2,evt_01-P01_desk_work_surface_0001,d8856ff8f231780b,native_source_context_fallback,wrist_confidence_below_floor,24133.7,2.71,,1,01/e1/v1,rtmpose_baseline
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,53620.0,unknown_object,0.2719,724.77,370.34,752.06,429.73,1620.8,27.29,59.38,0.46,False,,True,unattributed,2,evt_01-P01_desk_work_surface_0001,d8856ff8f231780b,native_source_context_fallback,wrist_confidence_below_floor,24133.7,2.71,,1,01/e1/v1,rtmpose_baseline
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,53620.0,unknown_object,0.4034,649.89,368.82,660.53,377.88,96.4,10.64,9.06,1.174,True,object footprint 96 px is under the 120 px floor for a call,False,unattributed,2,evt_01-P01_desk_work_surface_0001,d8856ff8f231780b,native_source_context_fallback,wrist_confidence_below_floor,24133.7,2.71,,1,01/e1/v1,rtmpose_baseline
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,54140.0,unknown_object,0.7661,651.98,406.03,725.7,487.42,6000.4,73.72,81.4,0.906,False,,True,unattributed,2,evt_01-P02_desk_work_surface_0009,6acb64a553686e50,native_source_context_fallback,wrist_confidence_below_floor,18669.3,3.45,,1,01/e1/v1,rtmpose_baseline
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,54140.0,unknown_object,0.3665,652.03,399.85,751.85,487.59,8757.4,99.82,87.73,1.138,False,,True,unattributed,2,evt_01-P02_desk_work_surface_0009,6acb64a553686e50,native_source_context_fallback,wrist_confidence_below_floor,18669.3,3.45,,1,01/e1/v1,rtmpose_baseline
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,54140.0,unknown_object,0.3682,725.73,397.95,748.43,428.8,700.1,22.7,30.85,0.736,False,,True,unattributed,2,evt_01-P02_desk_work_surface_0009,6acb64a553686e50,native_source_context_fallback,wrist_confidence_below_floor,18669.3,3.45,,1,01/e1/v1,rtmpose_baseline
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,54140.0,unknown_object,0.3584,651.93,365.16,671.03,399.41,654.4,19.11,34.25,0.558,False,,True,unattributed,2,evt_01-P02_desk_work_surface_0009,6acb64a553686e50,native_source_context_fallback,wrist_confidence_below_floor,18669.3,3.45,,1,01/e1/v1,rtmpose_baseline
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,54140.0,unknown_object,0.3022,652.08,406.53,694.85,487.25,3453.3,42.78,80.73,0.53,False,,True,unattributed,2,evt_01-P02_desk_work_surface_0009,6acb64a553686e50,native_source_context_fallback,wrist_confidence_below_floor,18669.3,3.45,,1,01/e1/v1,rtmpose_baseline
